2018-05-08 06:32:29 status installed libc-bin:amd64 2.23-0ubuntu10
2018-05-08 06:32:29 trigproc doc-base:all 0.10.7 <none>
2018-05-08 06:32:29 status half-configured doc-base:all 0.10.7
2018-05-08 06:32:29 status installed doc-base:all 0.10.7
2018-05-08 06:32:29 startup packages configure
2018-05-08 06:32:29 configure cups-browsed:amd64 1.8.3-2ubuntu3.4 <none>
2018-05-08 06:32:29 status unpacked cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:29 status unpacked cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:29 status unpacked cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:29 status unpacked cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:29 status unpacked cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:29 status half-configured cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status installed cups-browsed:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 configure libcupsfilters1:amd64 1.8.3-2ubuntu3.4 <none>
2018-05-08 06:32:30 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-05-08 06:32:30 status unpacked libcupsfilters1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status half-configured libcupsfilters1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status installed libcupsfilters1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 configure libqpdf21:amd64 8.0.2-3~16.04.1 <none>
2018-05-08 06:32:30 status unpacked libqpdf21:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 status half-configured libqpdf21:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 status installed libqpdf21:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 configure cups-filters-core-drivers:amd64 1.8.3-2ubuntu3.4 <none>
2018-05-08 06:32:30 status unpacked cups-filters-core-drivers:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status half-configured cups-filters-core-drivers:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status installed cups-filters-core-drivers:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 configure libfontembed1:amd64 1.8.3-2ubuntu3.4 <none>
2018-05-08 06:32:30 status unpacked libfontembed1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status half-configured libfontembed1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status installed libfontembed1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 configure cups-filters:amd64 1.8.3-2ubuntu3.4 <none>
2018-05-08 06:32:30 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status half-configured cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 status installed cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:30 configure qpdf:amd64 8.0.2-3~16.04.1 <none>
2018-05-08 06:32:30 status unpacked qpdf:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 status half-configured qpdf:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 status installed qpdf:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:30 trigproc cups:amd64 2.1.3-4ubuntu0.4 <none>
2018-05-08 06:32:30 status half-configured cups:amd64 2.1.3-4ubuntu0.4
2018-05-08 06:32:33 status installed cups:amd64 2.1.3-4ubuntu0.4
2018-05-08 06:32:33 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-05-08 06:32:33 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-05-08 06:32:33 status installed libc-bin:amd64 2.23-0ubuntu10
2018-05-08 06:32:34 startup packages configure
2018-05-08 16:22:36 startup archives unpack
2018-05-08 16:22:37 install libconfig-tiny-perl:all <none> 2.23-1
2018-05-08 16:22:37 status half-installed libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:37 status triggers-pending man-db:amd64 2.7.5-1
2018-05-08 16:22:37 status unpacked libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:37 status unpacked libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:37 install libmath-calc-units-perl:all <none> 1.07-1
2018-05-08 16:22:37 status half-installed libmath-calc-units-perl:all 1.07-1
2018-05-08 16:22:37 status unpacked libmath-calc-units-perl:all 1.07-1
2018-05-08 16:22:37 status unpacked libmath-calc-units-perl:all 1.07-1
2018-05-08 16:22:37 install libparams-classify-perl:amd64 <none> 0.013-5build1
2018-05-08 16:22:37 status half-installed libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:37 status unpacked libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:37 status unpacked libparams-classify-perl:amd64 0.013-5build1
2018-05-08 16:22:37 install libmodule-runtime-perl:all <none> 0.014-2
2018-05-08 16:22:37 status half-installed libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:37 status unpacked libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:37 status unpacked libmodule-runtime-perl:all 0.014-2
2018-05-08 16:22:37 install libtry-tiny-perl:all <none> 0.24-1
2018-05-08 16:22:37 status half-installed libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:37 status unpacked libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:37 status unpacked libtry-tiny-perl:all 0.24-1
2018-05-08 16:22:37 install libmodule-implementation-perl:all <none> 0.09-1
2018-05-08 16:22:37 status half-installed libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:37 status unpacked libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:37 status unpacked libmodule-implementation-perl:all 0.09-1
2018-05-08 16:22:37 install libparams-validate-perl:amd64 <none> 1.22-1
2018-05-08 16:22:37 status half-installed libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:37 status unpacked libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:37 status unpacked libparams-validate-perl:amd64 1.22-1
2018-05-08 16:22:37 install libnagios-plugin-perl:all <none> 0.36-2
2018-05-08 16:22:37 status half-installed libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:37 status unpacked libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:37 status unpacked libnagios-plugin-perl:all 0.36-2
2018-05-08 16:22:37 trigproc man-db:amd64 2.7.5-1 <none>
2018-05-08 16:22:37 status half-configured man-db:amd64 2.7.5-1
2018-05-08 16:22:39 status installed man-db:amd64 2.7.5-1
2018-05-08 16:22:40 startup packages configure
2018-05-08 16:22:40 configure libconfig-tiny-perl:all 2.23-1 <none>
2018-05-08 16:22:40 status unpacked libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:40 status half-configured libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:40 status installed libconfig-tiny-perl:all 2.23-1
2018-05-08 16:22:40 configure libmath-calc-units-perl:all 1.07-1 <none>
2018-05-08 16:22:40 status unpacked libmath-calc-units-perl:all 1.07-1
2018-05-08 16:22:40 status half-configured libmath-calc-units-perl:all 1.07-1
